Source,Package name,Package ID,ISBN,Unformatted ISBN,Book Title,Year,ISSN,Series Title,Volume,Imprint,Available Online,Status,Remarks,Shortcut URL
S&T,eBook - Energy 2016,EBCEN16,978-0-12-803417-0,9780128034170,"Formulas and Calculations for Drilling, Production, and Workover (Fourth Edition)",2016,,,,Gulf Professional Publishing,29-Jan-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780128034170
S&T,eBook - Engineering 2016,EBCE16,978-0-12-398499-9,9780123984999,Time-Frequency Signal Analysis and Processing (Second Edition),2016,,,,Academic Press,29-Jan-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780123984999
S&T,eBook - Engineering 2016,EBCE16,978-0-12-408052-2,9780124080522,RF and Mm-Wave Power Generation in Silicon,2016,,,,Academic Press,29-Jan-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780124080522
S&T,eBook - Engineering 2016,EBCE16,978-0-12-802581-9,9780128025819,"Medical Image Recognition, Segmentation and Parsing",2016,,,,Academic Press,29-Jan-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780128025819
S&T,eBook - Forensics and Security 2016,EBCFOR16,978-0-12-801949-8,9780128019498,Operating System Forensics,2015,,,,Syngress,29-Jan-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780128019498
S&T,eBook - Materials Science 2016,EBCMS16,978-1-78242-379-9,9781782423799,Advances in Smart Medical Textiles,2016,,Woodhead Publishing Series in Textiles,,Woodhead Publishing,29-Jan-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9781782423799
S&T,eBook - Mathematics 2016,EBCM16,978-0-12-407709-6,9780124077096,Multiphysics Modeling,2015,,,,Academic Press,29-Jan-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780124077096
S&T,eBook - Social Sciences 2016,EBCSS16,978-1-84334-747-7,9781843347477,Maximizing Electronic Resources Management in Libraries,2015,,Chandos Information Professional Series,,Chandos Publishing,29-Jan-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9781843347477
S&T,"eBook - Agricultural, Biological, and Food Sciences 2016",EBCABS16,978-0-08-100371-8,9780081003718,Handbook on Natural Pigments in Food and Beverages,2016,,"WPFTN/Woodhead Publishing Series in Food Science, Technology and Nutrition",,Woodhead Publishing,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780081003718
S&T,"eBook - Agricultural, Biological, and Food Sciences 2016",EBCABS16,978-0-12-801771-5,9780128017715,Agricultural Law and Economics in Sub-Saharan Africa,2016,,,,Academic Press,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128017715
S&T,"eBook - Agricultural, Biological, and Food Sciences 2016",EBCABS16,978-0-12-802972-5,9780128029725,"Fruits, Vegetables, and Herbs",2016,,,,Academic Press,29-Apr-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780128029725
S&T,"eBook - Agricultural, Biological, and Food Sciences 2016",EBCABS16,978-0-12-804073-7,9780128040737,Phenotyping Crop Plants for Physiological and Biochemical Traits,2016,,,,Academic Press,29-Apr-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780128040737
S&T,"eBook - Biochemistry, Genetics and Molecular Biology 2016",EBCBGMB16,978-0-12-801394-6,9780128013946,Case Studies in Cell Biology,2016,,Problem Sets in Biological and Biomedical Sciences,,Academic Press,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128013946
S&T,eBook - Biomedical Science and Medicine 2016,EBCBSM16,978-0-12-801368-7,9780128013687,Lanzkowsky's Manual of Pediatric Hematology and Oncology (Sixth Edition),2016,,,,Academic Press,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128013687
S&T,eBook - Chemistry 2016,EBCC16,978-0-12-802184-2,9780128021842,Mechanochemical Organic Synthesis,2016,,,,Elsevier,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128021842
S&T,eBook - Computer Science 2016,EBCCS16,978-0-12-804399-8,9780128043998,Relational Database Design and Implementation (Fourth Edition),2016,,,,Morgan Kaufmann,29-Apr-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780128043998
S&T,eBook - Computer Science 2016,EBCCS16,978-0-12-805304-1,9780128053041,Systems Analysis and Synthesis,2016,,,,Morgan Kaufmann,29-Apr-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780128053041
S&T,eBook - Computer Science 2016,EBCCS16,978-0-12-809198-2,9780128091982,Business Intelligence Strategy and Big Data Analytics,2016,,,,Morgan Kaufmann,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128091982
S&T,eBook - Engineering 2016,EBCE16,978-0-12-802688-5,9780128026885,Rock Fracture and Blasting,2016,,,,Butterworth-Heinemann,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128026885
S&T,eBook - Engineering 2016,EBCE16,978-0-12-803729-4,9780128037294,On-Road Intelligent Vehicles,2016,,,,Butterworth-Heinemann,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128037294
S&T,eBook - Engineering 2016,EBCE16,978-1-78548-094-2,9781785480942,Qualitative Analysis of Nonsmooth Dynamics,2016,,,,Elsevier,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9781785480942
S&T,eBook - Engineering 2016,EBCE16,978-1-78548-100-0,9781785481000,Multiscale Structural Topology Optimization,2016,,,,Elsevier,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9781785481000
S&T,eBook - Environmental Science 2016,EBCES16,978-0-12-803837-6,9780128038376,Environmental Materials and Waste,2016,,,,Academic Press,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128038376
S&T,eBook - Forensics and Security 2016,EBCFOR16,978-0-12-800607-8,9780128006078,Behavioral Evidence Analysis,2016,,,,Academic Press,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128006078
S&T,eBook - Forensics and Security 2016,EBCFOR16,978-0-12-803691-4,9780128036914,Human Body Decomposition,2016,,,,Academic Press,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128036914
S&T,eBook - Materials Science 2016,EBCMS16,978-0-08-100147-9,9780081001479,Biomaterials and Regenerative Medicine in Ophthalmology (Second Edition),2016,,Woodhead Publishing Series in Biomaterials,,Woodhead Publishing,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780081001479
S&T,eBook - Materials Science 2016,EBCMS16,978-0-08-100574-3,9780081005743,Smart Textiles and their Applications,2016,,Woodhead Publishing Series in Textiles,,Woodhead Publishing,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780081005743
S&T,eBook - Materials Science 2016,EBCMS16,978-0-323-38945-7,9780323389457,Boron Nitride Nanotubes in Nanomedicine,2016,,Micro and Nano Technologies,,William Andrew Publishing,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780323389457
S&T,eBook - Materials Science 2016,EBCMS16,978-0-323-42866-8,9780323428668,Nanobiomaterials in Drug Delivery,2016,,,,William Andrew Publishing,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780323428668
S&T,eBook - Mathematics 2016,EBCM16,978-0-12-804675-3,9780128046753,Introduction to Finite and Infinite Dimensional Lie (Super)algebras,2016,,,,Academic Press,29-Apr-2016,Active,Added in February 2016,http://www.sciencedirect.com/science/book/9780128046753
S&T,eBook - Neuroscience 2016,EBCN16,978-0-12-800634-4,9780128006344,Neuropathology of Drug Addictions and Substance Misuse,2016,,,,Academic Press,29-Apr-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128006344
S&T,eBook - Psychology 2016,EBCP16,978-0-12-417304-0,9780124173040,Culturally Adapting Psychotherapy for Asian Heritage Populations,2016,1873-0450,PRMHP/Practical Resources for the Mental Health Professional,,Academic Press,29-Apr-2016,Active,Added in September 2016,http://www.sciencedirect.com/science/book/9780124173040
HS,eBook - German Medical Collection 2016,EBCHSGER16,978-3-437-23216-9,9783437232169,Spezielle Orthopädische Chirurgie,2015,,,,Urban & Fischer,28-Oct-2016,Active,,http://www.sciencedirect.com/science/book/9783437232169
S&T,"eBook - Agricultural, Biological, and Food Sciences 2016",EBCABS16,978-0-12-801774-6,9780128017746,Induced Fish Breeding,2016,,,,Academic Press,28-Oct-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128017746
S&T,"eBook - Biochemistry, Genetics and Molecular Biology 2016",EBCBGMB16,978-0-12-802683-0,9780128026830,Understanding PCR,2016,,,,Academic Press,28-Oct-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128026830
S&T,"eBook - Biochemistry, Genetics and Molecular Biology 2016",EBCBGMB16,978-0-12-803102-5,9780128031025,Mesenchymal Stromal Cells as Tumor Stromal Modulators,2016,,,,Academic Press,28-Oct-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128031025
S&T,"eBook - Biochemistry, Genetics and Molecular Biology 2016",EBCBGMB16,978-0-12-803395-1,9780128033951,Chromatin Regulation and Dynamics,2016,,,,Academic Press,28-Oct-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128033951
S&T,eBook - Biomedical Science and Medicine 2016,EBCBSM16,978-0-12-800040-3,9780128000403,Cardioskeletal Myopathies in Children and Young Adults,2017,,,,Academic Press,28-Oct-2016,Active,Original frontlist title,http://www.sciencedirect.com/science/book/9780128000403
S&T,eBook - Chemical Engineering 2016,EBCCE16,978-0-12-811101-7,9780128111017,Pulp and Paper Industry,2017,,,,Elsevier,28-Oct-2016,Active,Added in May 2016,http://www.sciencedirect.com/science/book/9780128111017
